Indice|Categoria|Marca|Descripcion|Precio
6|belleza|L'Oréal Paris|Labiales Color Riche Matte Lipstick Erotique 640 #823957|$3.779
7|belleza|L'Oréal Paris|Base Maquillaje Cover 24 Beige Dore #F5F5DC|$10.999
8|belleza|L'Oréal Paris|Delineador De Ojos 300 Chocolate Addict #C09073|$4.199
9|belleza|L'Oréal Paris|Delineador De Ojos 301 Night Day Black #000000|$4.199
10|belleza|Pamela Grant|Rubor Mosaic Hot Frapuccino Hot Frapuccino|$3.999
11|belleza|Pamela Grant|Rubor Mosaic Pink Explossion #FF77A1|$3.999
12|belleza|L'Oréal Paris|Polvo De Maquillaje 160 Sand Beige #F5F5DC|$7.599
13|belleza|L'Oréal Paris|Polvo De Maquillaje 225 Beige F5F5DC|$7.799
14|belleza|L'Oréal Paris|Polvo De Maquillaje 245 Warm Sand #8E917A|$7.899
15|belleza|L'Oréal Paris|Sombra Infalible Paint 308 Aqua Aura #060506|$7.990
16|belleza|L'Oréal Paris|Sombra Infalible Paint 312 Jet Set Blond #F7F2EC|$7.990
17|belleza|Pamela Grant|Polvo Compacto 3 En 1 Sun Kissed B. Peack|$6.299
18|belleza|Pamela Grant|Polvo Compacto 3 En 1 Sun Kissed Golden |$6.299
19|belleza|Pamela Grant|Base Perfect Face Matte Medium #E9CCB3|$4.199
20|belleza|Sedal|Acondicionador Pureza Refrescante 340 Ml 340 ml|$2.990
21|belleza|Sedal|Acond Restauración Instantánea 340 Ml 340 ml|$2.990
22|belleza|Sedal|Acond Restauración Instantánea 190 Ml 190 ml|$1.899
23|belleza|Sedal|Shampoo Pureza Refrescante 340ml 340 ml|$2.990
24|belleza|Sedal|Shampoo Restauración Instantánea 190 Ml 190 ml|$1.899
25|belleza|L'Oréal Paris|Lápiz Labial Riche 374 Intense Plum 374 Intense Plum|$3.639
26|belleza|Petrizzio|Base Líquida Maxi Cober Rose Beige #C3A591|$4.990
27|belleza|Petrizzio|Base Líquida Maxi Cober Honey Beige  #C58A70|$4.990
28|belleza|Petrizzio|Base Líquida Maxi Cober Dark Beige #7D664C|$4.990
